"","E","N","slope","trees"
"sample_1",3720,9260,0.186,48
"sample_2",4510,2870,0.657,36
"sample_3",2100,9630,0.21,52
"sample_4",1440,3630,0.197,47
"sample_5",6400,4160,0.654,26
"sample_6",8340,9220,0.598,35
"sample_7",1550,7720,0.181,42
"sample_8",4480,3270,0.542,17
"sample_9",369,5580,0.203,52
"sample_10",8370,5270,0.569,28
"sample_11",6540,1590,0.724,29
"sample_12",7450,9550,0.231,51
"sample_13",8710,4210,0.616,36
"sample_14",1550,9160,0.192,38
"sample_15",3620,7850,0.19,49
"sample_16",5670,3520,0.62,32
"sample_17",1290,8520,0.188,50
"sample_18",9310,3590,0.622,35
"sample_19",4790,9340,0.184,45
"sample_20",5830,7480,0.196,54
"sample_21",9370,2830,0.64,33
"sample_22",8320,6400,0.721,30
"sample_23",2600,1680,0.648,35
"sample_24",1620,5870,0.227,32
"sample_25",1350,4260,0.187,48
"sample_26",6450,5130,0.535,36
"sample_27",743,6400,0.209,35
"sample_28",7280,8700,0.187,45
"sample_29",3420,1870,0.661,31
"sample_30",2860,3890,0.2,41
"sample_31",6560,2890,0.686,41
"sample_32",5760,2430,0.539,37
"sample_33",7610,1640,0.614,32
"sample_34",4440,8540,0.171,47
"sample_35",7850,3800,0.645,32
"sample_36",7510,5650,0.664,24
"sample_37",9780,8210,0.583,35
"sample_38",3300,4620,0.168,68
"sample_39",429,2120,0.177,51
"sample_40",9440,847,0.582,27
"sample_41",318,9160,0.216,53
"sample_42",6400,9720,0.198,56
"sample_43",8800,2330,0.655,25
"sample_44",2900,8300,0.179,48
"sample_45",2420,4240,0.2,48
"sample_46",7460,2500,0.619,23
"sample_47",1160,877,0.202,50
"sample_48",1450,2360,0.173,37
"sample_49",5750,5170,0.571,24
"sample_50",3420,6250,0.224,53
"sample_51",1590,1140,0.568,32
"sample_52",504,7410,0.203,44
"sample_53",2510,592,0.643,38
"sample_54",8820,461,0.661,37
"sample_55",4440,4400,0.574,29
"sample_56",3130,5410,0.178,36
"sample_57",6560,6340,0.612,30
"sample_58",2770,6200,0.18,38
"sample_59",7600,7420,0.666,24
"sample_60",9250,1290,0.609,34
"sample_61",5870,4280,0.594,27
"sample_62",5740,6440,0.222,63
"sample_63",6520,363,0.679,35
"sample_64",4120,6430,0.203,58
"sample_65",2160,5460,0.185,54
"sample_66",9380,9630,0.698,27
"sample_67",653,8750,0.221,45
"sample_68",6660,3580,0.649,33
"sample_69",9600,6120,0.485,37
"sample_70",4730,188,0.631,27
"sample_71",4820,5550,0.175,57
"sample_72",8790,7860,0.647,26
"sample_73",8810,3790,0.558,23
"sample_74",2730,7190,0.201,54
"sample_75",8200,8770,0.662,30
"sample_76",9760,4600,0.611,34
"sample_77",7640,6150,0.616,27
"sample_78",2510,2660,0.215,51
"sample_79",3340,8690,0.226,72
"sample_80",5880,8610,0.219,40
"sample_81",3270,670,0.555,26
"sample_82",157,147,0.185,56
"sample_83",5460,9560,0.18,46
"sample_84",863,1820,0.236,47
"sample_85",8240,1760,0.541,27
"sample_86",426,3130,0.167,50
"sample_87",9830,7540,0.673,32
"sample_88",4180,7350,0.165,65
"sample_89",7380,4690,0.715,26
"sample_90",4420,1750,0.559,25
